stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
28977,6700795-1,Reiu tee,58.29694978,24.60817841,28977,,Tahkuranna vald,,6461970.06,535662.97,
28978,6700819-1,Roogoja,58.38968364,24.10761502,28978,,Audru vald,,6472141.94,506293.95,
28979,6700818-1,Roogoja,58.38998081,24.10763286,28979,,Audru vald,,6472175.04,506294.94,
28980,6700909-1,Sindi,58.40211936,24.65499834,28980,,Sindi linn,,6473708.93,538293.98,PärnuMVLL
28981,6700918-1,Soo,58.40691477,24.66706426,28981,,Sindi linn,,6474249.96,538994.07,PärnuMVLL
28983,5100549-1,Türi bussijaam,58.80469185,25.42402689,28983,Türi,Türi vald,,6519234.50,582297.87,tartu1
28984,7000218-1,Kumma,58.95246337,24.83287706,28984,,Kehtna vald,,6535118.19,547931.94,
28985,5700043-1,Hara küla,59.07588,23.54237999,28985,,Noarootsi vald,,6548657.49,473757.35,
28986,5700154-1,Kooli,58.80962515,23.67636768,28986,,Ridala vald,,6518955.50,481297.84,
28989,5700010-1,Nurme,58.88810964,23.53839284,28989,,Ridala vald,,6527744.00,473384.78,
28990,5700003-1,Ahli,58.85497303,23.53558127,28990,,Ridala vald,,6524054.25,473197.12,
28992,7000240-1,Kärneri,59.10702758,24.79808261,28992,,Rapla vald,,6552309.59,545724.78,Harju4
28993,7000426-1,Purila,59.08219426,24.82547285,28993,,Rapla vald,,6549562.55,547328.02,
28994,7000090-1,Jaluse,59.11601433,24.9687453,28994,,Juuru vald,,6553439.32,555487.53,Harju4
28995,7400807-1,Unguma,58.46337523,23.12978979,28995,,Pöide vald,,6480674.00,449212.95,
28996,7400809-1,Unimäe,58.2836204,22.46130399,28996,,Lääne-Saare vald,,6461359.02,409745.04,
28997,7400808-1,Unimäe,58.28389613,22.46111993,28997,,Lääne-Saare vald,,6461389.97,409734.95,
28999,7400257-1,Koiduvälja,58.4897589,22.60748705,28999,,Leisi vald,,6484126.08,418794.97,
29000,7400256-1,Koiduvälja,58.48943373,22.60738074,29000,,Leisi vald,,6484090.00,418788.02,
29001,7400258-1,Koikla,58.47726176,22.78429294,29001,,Leisi vald,,6482533.93,429079.05,
29002,7400259-1,Koikla,58.47738675,22.78414975,29002,,Leisi vald,,6482548.00,429070.95,
29006,4400640-1,Raudteeülesõit,59.36092243,27.24513055,29006,,Kohtla vald,,6584784.29,684488.30,
29007,4400844-1,Vanaküla,59.35708274,27.24112502,29007,,Kohtla vald,,6584346.03,684281.42,
29009,4400842-1,Vanaküla,59.35596526,27.23849362,29009,,Kohtla vald,,6584214.46,684137.93,
29011,4400646-1,Rembergi talu,59.42268929,27.28619084,29011,,Kohtla vald,,6591770.71,686483.78,
29012,4400261-1,Kiltsi,59.4387691,27.26744934,29012,,Kohtla vald,,6593508.00,685333.86,
29013,4400647-1,Rembergi talu,59.42269251,27.28636046,29013,,Kohtla vald,,6591771.54,686493.38,
29014,4400528-1,Ontika,59.43861038,27.28457835,29014,,Kohtla vald,,6593537.79,686305.53,
29015,4400527-1,Ontika,59.43873246,27.28379875,29015,,Kohtla vald,,6593549.21,686260.68,
29016,7000250-1,Kükita tee,59.02202831,24.44997153,29016,,Märjamaa vald,,6542656.07,525844.28,
29017,4400018-1,Aia,59.41523558,27.14329256,29017,,Lüganuse vald,,6590552.60,678419.60,
29018,4400890-1,Voorepere,59.41131921,27.12978003,29018,,Lüganuse vald,,6590080.91,677673.51,
29019,7801145-1,Väike-Konguta,58.22629305,26.31558367,29019,,Konguta vald,,6456287.00,636030.00,
29020,5100489-1,Sikensaare,58.73516163,25.49101869,29020,,Türi vald,,6511576.00,586341.00,tartu1
29021,5700293-1,Paslepa tee,59.02734824,23.48162226,29021,,Noarootsi vald,,6543277.00,470231.43,
29022,5100336-1,Paia,58.74619043,25.76957107,29022,,Imavere vald,,6513196.03,602435.39,
29023,5100253-1,Lootsikoja,58.65293764,25.34431924,29023,,Türi vald,,6502240.00,578030.75,tartu2
29028,8600087-1,Hürsi,57.64795682,27.21369232,29028,,Misso vald,,6394121.04,691839.99,
29029,8600088-1,Hürsi,57.64797018,27.21351866,29029,,Misso vald,,6394122.03,691829.56,
29030,8600071-1,Hino,57.57515507,27.23162333,29030,,Misso vald,,6386073.07,693300.06,
29031,8600070-1,Hino,57.57511417,27.23176924,29031,,Misso vald,,6386068.94,693309.00,
29032,8600542-1,Rammuka,57.56431941,27.22310771,29032,,Misso vald,,6384843.05,692849.06,
29033,8600543-1,Rammuka,57.56431437,27.22295506,29033,,Misso vald,,6384842.05,692839.96,
29035,8600775-1,Vana-Vastseliina,57.72804691,27.35954707,29035,,Vastseliina vald,,6403456.95,700093.01,
29036,8600774-1,Vana-Vastseliina,57.72818419,27.35947642,29036,,Vastseliina vald,,6403472.01,700088.04,
29049,7800256-1,Kiriku,58.50358436,26.87771839,29049,,Vara vald,,6488421.08,667710.00,
29050,7800255-1,Kiriku,58.50323192,26.8765898,29050,,Vara vald,,6488379.04,667645.95,
29051,7800581-1,Mäike,58.63482783,27.04106961,29051,,Alatskivi vald,,6503444.00,676561.06,
29061,5100234-1,Laimetsa,58.80189288,25.6840617,29061,,Imavere vald,,6519271.00,597330.81,tartu1
29063,5100445-1,Risti,58.78915174,25.75838615,29063,,Imavere vald,,6517962.55,601662.65,tartu1
29064,5100142-1,Kiigevere,58.74094832,25.80536974,29064,,Imavere vald,,6512667.58,604522.89,tartu2
29065,5100156-1,Koigi,58.83125336,25.74336366,29065,,Koigi vald,,6522627.77,600672.44,tartu1
29066,5100525-1,Tamsi,58.84253613,25.78513383,29066,,Koigi vald,,6523947.50,603050.50,tartu1
29067,5100406-1,Pätsavere,58.82795667,25.83259272,29067,,Koigi vald,,6522398.05,605833.85,tartu1
29068,8200411-1,Palupera,58.12530291,26.32213378,29068,,Palupera vald,,6445059.03,636803.95,
29069,8200415-1,Palupera tee,58.11764933,26.34597999,29069,,Palupera vald,,6444256.00,638238.04,
29070,8200095-1,II Brigaad,58.12990531,26.37194886,29070,,Palupera vald,,6445674.00,639719.37,
29071,8200094-1,II Brigaad,58.12937324,26.37085607,29071,,Palupera vald,,6445612.50,639657.12,
29072,8200080-1,Hellenurme,58.13779781,26.38417409,29072,,Palupera vald,,6446578.02,640407.96,
29073,8200079-1,Hellenurme,58.13763149,26.38392678,29073,,Palupera vald,,6446558.99,640394.06,
29074,8200420-1,Pastaku,58.15221593,26.38040178,29074,,Palupera vald,,6448174.97,640128.92,
29075,8200419-1,Pastaku,58.15189719,26.3801948,29075,,Palupera vald,,6448139.06,640118.00,
29076,8200414-1,Palupera kool,58.11594727,26.33452757,29076,,Palupera vald,,6444043.00,637570.07,
29077,8200413-1,Palupera kool,58.11585259,26.33482471,29077,,Palupera vald,,6444033.07,637587.94,
29078,7400601-1,Rahu teerist,58.41097869,22.8068424,29078,,Valjala vald,,6475128.95,430263.07,
29079,8400820-1,Viljandi (saabuvad bussid),58.36845961,25.59873779,29079,Viljandi,Viljandi linn,,6470887.91,593550.97,ViljandiLinn
29080,8400821-1,Viljandi (saabuvad bussid),58.36878902,25.59830849,29080,Viljandi,Viljandi linn,,6470923.99,593524.98,ViljandiLinn
29081,8400062-1,Bussijaam,58.3693359,25.59843517,29081,,Viljandi linn,,6470985.06,593530.94,ViljandiLinn
29082,8400061-1,Bussijaam,58.36927485,25.59821173,29082,,Viljandi linn,,6470977.95,593518.03,ViljandiLinn
29083,8400509-1,Musta tee,58.37441917,25.59904207,29083,,Viljandi linn,,6471551.91,593552.95,ViljandiLinn
29084,8400510-1,Musta tee,58.37398905,25.59897178,29084,,Viljandi linn,,6471503.92,593549.98,ViljandiLinn
29085,8400911-1,Tallinna,58.37779777,25.59678472,29085,,Viljandi linn,,6471924.96,593411.95,ViljandiLinn
